Region,Active,Recovered,Deceased_daily,Total
Auckland,31,176,0,202
Bay of Plenty,0,48,0,48
Canterbury,0,152,12,164
Capital and Coast,0,93,2,95
Counties Manukau,41,133,0,181
Hawke's Bay,0,44,0,44
Hutt Valley,0,22,0,22
Lakes,0,16,0,16
Mid Central,0,32,0,32
Nelson Marlborough,0,49,0,49
Northland,0,28,0,28
South Canterbury,0,17,0,17
Southern,0,214,2,216
Tairāwhiti,0,4,0,4
Taranaki,0,16,0,16
Waikato,1,186,1,188
Wairarapa,0,8,0,8
Waitematā,16,233,4,253
West Coast,0,4,1,5
Whanganui,0,9,0,9
New Zealand,114,1538,22,1674